date,vis_team,home_team,away_lineup,home_lineup
2025-03-18,LAN,CHN,"['ohtas001', 'edmat001', 'hernt002', 'smitw003', 'muncm001', 'herne001', 'confm001', 'rojam002', 'pagea001']","['happi001', 'suzus001', 'tuckk001', 'buscm003', 'shawm002', 'swand001', 'crowp001', 'amaym001', 'bertj001']"
2025-03-19,LAN,CHN,"['ohtas001', 'edmat001', 'hernt002', 'smitw003', 'muncm001', 'herne001', 'confm001', 'rojam002', 'pagea001']","['happi001', 'suzus001', 'tuckk001', 'buscm003', 'shawm002', 'swand001', 'crowp001', 'kellc002', 'bertj001']"
2025-03-27,CHN,ARI,"['happi001', 'tuckk001', 'suzus001', 'buscm003', 'swand001', 'hoern001', 'crowp001', 'shawm002', 'amaym001']","['martk001', 'carrc005', 'gurrl001', 'naylj001', 'moreg001', 'suare001', 'gricr001', 'mccaj003', 'perdg001']"
2025-03-27,SFN,CIN,"['wadel001', 'adamw002', 'lee-j001', 'chapm001', 'ramoh002', 'bailp001', 'florw001', 'yastm001', 'fitzt001']","['friet001', 'mclam001', 'delae003', 'lux-g001', 'candj002', 'stees001', 'encac001', 'fralj001', 'trevj001']"
2025-03-27,DET,LAN,"['ibana001', 'torrg001', 'greer003', 'torks001', 'margm001', 'keitc001', 'baezj001', 'rogej004', 'kreir001']","['ohtas001', 'bettm001', 'hernt002', 'freef001', 'edmat001', 'smitw003', 'muncm001', 'rojam002', 'pagea001']"
2025-03-27,PIT,MIA,"['phamt001', 'reynb001', 'cruzo001', 'bartj003', 'mccua001', 'gonzn001', 'rodre006', 'hayek001', 'kinei001']","['edwax001', 'stowk001', 'bridj001', 'mervm001', 'lopeo001', 'conig001', 'hilld002', 'paulg001', 'fortn001']"
2025-03-27,ATL,SDN,"['profj001', 'rilea001', 'olsom001', 'ozunm001', 'albio001', 'harrm004', 'baldd001', 'arcio002', 'kelej001']","['tatif002', 'arral001', 'machm001', 'bogax001', 'merrj002', 'gurry001', 'cronj001', 'lockb001', 'diaze005']"
2025-03-27,MIN,SLN,"['wallm001', 'corrc001', 'buxtb001', 'larnt001', 'jeffr002', 'frant002', 'castw003', 'miraj002', 'badeh001']","['nootl001', 'contw001', 'donob001', 'arenn001', 'burla001', 'herri001', 'walkj003', 'scotv001', 'winnm001']"
2025-03-27,PHI,WAS,"['turnt001', 'harpb003', 'bohma001', 'schwk001', 'realj001', 'keplm001', 'castn001', 'stotb001', 'marsb002']","['abrac001', 'woodj004', 'garcl006', 'bellj005', 'lowen001', 'dejop001', 'ruizk001', 'crewd001', 'younj004']"
2025-03-27,ANA,CHA,"['wardt002', 'schan001', 'troum001', 'solej001', 'andet001', 'rengl001', 'ohopl001', 'adelj001', 'newmk001']","['vargm001', 'robel002', 'benia002', 'vauga001', 'slata001', 'sosal001', 'lee-k002', 'amayj001', 'taylm002']"
2025-03-27,NYN,HOU,"['lindf001', 'sotoj001', 'alonp001', 'vienm001', 'nimmb001', 'marts002', 'taylt002', 'acunl001', 'torrl001']","['altuj001', 'parei001', 'alvay001', 'walkc002', 'diazy004', 'penaj004', 'smitc010', 'rodgb002', 'meyej002']"
2025-03-27,CLE,KCA,"['kwans001', 'ramij003', 'thoml002', 'santc002', 'manzk001', 'noelj001', 'naylb001', 'ariag002', 'roccb001']","['indij001', 'wittb002', 'pasqv001', 'peres002', 'massm001', 'renfh001', 'melem001', 'biggc002', 'isbek001']"
2025-03-27,MIL,NYA,"['chouj001', 'yelic001', 'contw002', 'hoskr001', 'frels001', 'ortij005', 'mitcg001', 'caprv001', 'turab002']","['wella002', 'judga001', 'bellc002', 'goldp001', 'chisj001', 'domij003', 'volpa001', 'riceb001', 'cabro002']"
2025-03-27,ATH,SEA,"['butll001', 'rookb001', 'bledj001', 'langs001', 'andum001', 'sodet001', 'urshg001', 'muncm002', 'wilsj006']","['roblv001', 'rodrj007', 'ralec001', 'arozr001', 'ralel001', 'polaj001', 'tellr001', 'blisr001', 'crawj002']"
2025-03-27,BOS,TEX,"['duraj001', 'dever001', 'brega001', 'casat001', 'stort001', 'campk002', 'abrew002', 'wongc001', 'rafac001']","['semim001', 'seagc001', 'langw001', 'garca005', 'burgj001', 'jungj001', 'pillk001', 'higak001', 'smitj007']"
2025-03-27,BAL,TOR,"['cowsc001', 'rutsa001', 'westj002', 'ohear001', 'oneit001', 'mounr001', 'mullc002', 'uriar001', 'hollj003']","['bichb001', 'guerv002', 'santa003', 'gimea001', 'kirka001', 'sprig001', 'wagnw001', 'cleme002', 'rodea001']"
2025-03-28,CHN,ARI,"['happi001', 'tuckk001', 'suzus001', 'buscm003', 'swand001', 'hoern001', 'crowp001', 'shawm002', 'kellc002']","['carrc005', 'martk001', 'gurrl001', 'naylj001', 'smitp002', 'suare001', 'thoma004', 'perdg001', 'herrj003']"
2025-03-28,DET,LAN,"['torrg001', 'carpk001', 'greer003', 'torks001', 'keitc001', 'mckiz001', 'dingd001', 'sweet001', 'kreir001']","['ohtas001', 'bettm001', 'freef001', 'hernt002', 'muncm001', 'edmat001', 'confm001', 'pagea001', 'barna001']"
2025-03-28,PIT,MIA,"['phamt001', 'reynb001', 'cruzo001', 'bartj003', 'mccua001', 'hayek001', 'rodre006', 'fraza001', 'kinei001']","['edwax001', 'stowk001', 'bridj001', 'mervm001', 'lopeo001', 'conig001', 'hickl001', 'hilld002', 'paulg001']"
2025-03-28,ATL,SDN,"['profj001', 'rilea001', 'olsom001', 'ozunm001', 'albio001', 'harrm004', 'baldd001', 'allen002', 'kelej001']","['tatif002', 'arral001', 'machm001', 'merrj002', 'cronj001', 'bogax001', 'sheeg001', 'heywj001', 'maldm001']"
2025-03-28,NYN,HOU,"['lindf001', 'sotoj001', 'alonp001', 'nimmb001', 'vienm001', 'winkj002', 'taylt002', 'batyb001', 'torrl001']","['altuj001', 'parei001', 'alvay001', 'walkc002', 'diazy004', 'penaj004', 'smitc010', 'rodgb002', 'meyej002']"
2025-03-28,ATH,SEA,"['butll001', 'rookb001', 'bledj001', 'langs001', 'sodet001', 'brows003', 'urshg001', 'muncm002', 'wilsj006']","['roblv001', 'rodrj007', 'ralec001', 'arozr001', 'garvm001', 'polaj001', 'solad001', 'moord002', 'crawj002']"
