pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-28,95.2,1.78,5.96,"Vázquez, Christian",543877,650911,field_out,hit_into_play,,,,,4.0,Christian Vázquez flies out to right fielder Nick Castellanos.,R,R,L,PHI,MIN,X,9.0,fly_ball,0,0,2025,1.61,0.23,-0.3017510767424032,2.2827514639473496,,,,0,6,Top,182.8,120.08,,,,,-9.157649278254397,-138.2388733698558,-4.522024149657259,22.691302442628057,31.418041774216576,-28.340863888448997,3.18,1.46,252.0,83.9,50.0,95.8,2100.0,6.8,776141,665561,547180,642215,664761,681082,805249,596146,592206,53.69,0.018,0.017,0.0,1.0,0.0,0.0,3.0,33,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,125.0,0.034,-0.259,66.0,6.7,0.023,0.259,88.0,0,0,0.5,0.5,28,34,29,35,2,1,5.0,2.0,6.0,,2.3,1.61,-1.61,29.3,9.142403329738183,-1.613103596722946,32.42257449237196,32.15255333898683,33.403488586822135
CH,2025-09-28,85.8,1.95,5.86,"Vázquez, Christian",543877,650911,field_out,hit_into_play,,,,,5.0,Christian Vázquez pops out to shortstop Trea Turner.,R,R,L,PHI,MIN,X,6.0,popup,2,1,2025,1.3,-0.17,0.2206923286524413,2.6165484025597565,,,,1,3,Top,122.83,144.32,,,,,-6.811859429467827,-124.76381038307647,-1.0552182103629373,14.958858630937051,25.46340465303749,-33.95476796752717,3.18,1.46,142.0,84.2,65.0,86.8,1933.0,7.0,776141,665561,547180,681082,664761,607208,596146,669016,592206,53.53,0.01,0.011,0.0,1.0,0.0,0.0,3.0,14,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,95.0,0.021,-0.298,64.9,7.2,0.013,0.298,88.0,0,0,0.522,0.478,28,34,29,35,1,0,5.0,2.0,6.0,,3.27,1.3,-1.3,29.3,17.604219613097122,-7.416731607397345,26.46109107403379,38.03451494910361,38.29099210823831
CH,2025-09-28,87.8,2.02,5.83,"Vázquez, Christian",543877,650911,,ball,,,,,13.0,Ball,R,R,L,PHI,MIN,B,,,1,1,2025,1.46,0.03,-1.2646913822861492,0.5662051700291135,,,,1,3,Top,,,,,,,-11.122585949414638,-127.27759919738033,-6.727993162747069,18.185645753258928,26.42494375204575,-30.543717041541417,3.17589988538752,1.46194139266887,,,,88.8,1995.0,7.1,776141,665561,547180,681082,664761,607208,596146,669016,592206,53.38,,,,,,,,14,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,108.0,-0.004,0.055,,,,-0.055,,0,0,0.526,0.474,28,34,29,35,1,0,5.0,2.0,6.0,,2.95,1.46,-1.46,27.8,,,,,
SI,2025-09-28,95.7,1.93,5.92,"Vázquez, Christian",543877,650911,,called_strike,,,,,8.0,Called Strike,R,R,L,PHI,MIN,S,,,1,0,2025,1.37,0.29,0.0639499529827696,1.6217175302582905,,,,1,3,Top,,,,,,,-8.084336539086609,-138.93882432142732,-6.392894870763734,19.5461862854228,32.76349788979002,-27.060561386961105,3.18000030116771,1.45181244011212,,,,96.3,2087.0,6.9,776141,665561,547180,681082,664761,607208,596146,669016,592206,53.64,,,,,,,,14,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,117.0,0.004,-0.049,,,,0.049,,0,0,0.522,0.478,28,34,29,35,1,0,5.0,2.0,6.0,,2.22,1.37,-1.37,28.3,,,,,
CH,2025-09-28,87.1,1.95,5.83,"Vázquez, Christian",543877,650911,,ball,,,,,13.0,Ball,R,R,L,PHI,MIN,B,,,0,0,2025,1.56,-0.1,-1.6369410274653111,1.0785994384088102,,,,1,3,Top,,,,,,,-11.950501103003331,-126.16942214283254,-5.002926088679309,19.134557131871723,26.8871245452705,-32.35240699749006,3.12368698162967,1.41463317020492,,,,87.8,2086.0,7.1,776141,665561,547180,681082,664761,607208,596146,669016,592206,53.42,,,,,,,,14,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,107.0,-0.003,0.039,,,,-0.039,,0,0,0.525,0.475,28,34,29,35,1,0,5.0,2.0,6.0,,3.15,1.56,-1.56,27.5,,,,,
FF,2025-09-28,94.1,-1.62,6.58,"Vázquez, Christian",543877,592836,strikeout,swinging_strike,,,,,8.0,Christian Vázquez strikes out swinging.,R,R,R,PHI,MIN,S,2.0,,2,2,2025,-1.0,1.7,0.1590782774247248,1.7259717886112893,686797.0,680577.0,680837.0,1,7,Top,,,,,,,6.7917896280136345,-136.42897559313496,-10.520271028470743,-14.01738112089634,31.711867930938777,-8.705277188548722,3.18,1.46,,,,93.3,2291.0,6.1,776141,596117,547180,642215,664761,681082,805249,596146,592206,54.37,,0.0,0.0,1.0,0.0,0.0,,45,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,219.0,0.07,-0.273,,,,0.273,,-1,1,0.215,0.785,32,34,33,35,1,2,3.0,2.0,10.0,,0.9,1.0,1.0,42.5,,,,,
FS,2025-09-28,87.4,-1.75,6.49,"Vázquez, Christian",543877,592836,,foul,,,,,8.0,Foul,R,R,R,PHI,MIN,S,,,2,2,2025,-1.12,0.4,0.2213846358528299,1.4377457032784986,686797.0,680577.0,680837.0,1,7,Top,,,,,,,7.013432033793023,-127.02328278972206,-6.838165282628653,-13.515959096774672,25.314861098601085,-26.589499476982812,3.18,1.46,1.0,72.8,-48.0,87.1,1246.0,6.1,776141,596117,547180,642215,664761,681082,805249,596146,592206,54.38,,,,,,,,45,5,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,225.0,0.0,0.0,62.4,7.4,,0.0,88.0,-1,1,0.215,0.785,32,34,33,35,1,2,3.0,2.0,10.0,,2.58,1.12,1.12,43.2,19.070704146934187,-5.046042412978449,31.524219055849297,39.70992403634019,38.83005410642828
SL,2025-09-28,82.9,-1.79,6.44,"Vázquez, Christian",543877,592836,,blocked_ball,,,,,14.0,Ball In Dirt,R,R,R,PHI,MIN,B,,,1,2,2025,0.51,0.65,0.7951192380826304,0.6650758338416352,686797.0,680577.0,680837.0,1,7,Top,,,,,,,4.879777991475651,-120.5283595895222,-7.913553566985125,3.967352574913397,23.85593992151735,-24.444125658851423,3.11786823453138,1.4826477471012,,,,82.2,2482.0,5.9,776141,596117,547180,642215,664761,681082,805249,596146,592206,54.61,,,,,,,,45,4,Slider,0,1,1,0,1,0,1,0,Standard,Standard,105.0,-0.011,0.05,,,,-0.05,,-1,1,0.226,0.774,32,34,33,35,1,2,3.0,2.0,10.0,,2.67,-0.51,-0.51,45.3,,,,,
FS,2025-09-28,88.0,-1.71,6.49,"Vázquez, Christian",543877,592836,,foul,,,,,5.0,Foul,R,R,R,PHI,MIN,S,,,1,1,2025,-0.96,0.05,0.268364626870507,2.068071503092398,686797.0,680577.0,680837.0,1,7,Top,,,,,,,6.764877123403391,-127.94738958189804,-4.718556921697232,-11.954768480414453,25.70861145416667,-30.900516588599423,3.18,1.46,,,,87.7,1316.0,6.1,776141,596117,547180,642215,664761,681082,805249,596146,592206,54.4,,,,,,,,45,3,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,224.0,0.015,-0.073,64.3,6.8,,0.073,,-1,1,0.211,0.789,32,34,33,35,1,2,3.0,2.0,10.0,,2.9,0.96,0.96,42.9,14.083788175458198,-0.0211036899822562,24.56327680364416,40.73849381717555,31.42460256273699
SI,2025-09-28,92.9,-1.66,6.51,"Vázquez, Christian",543877,592836,,called_strike,,,,,5.0,Called Strike,R,R,R,PHI,MIN,S,,,1,0,2025,-1.2,1.24,0.114266170186922,2.1381096395161996,686797.0,680577.0,680837.0,1,7,Top,,,,,,,7.128380946641443,-134.89589514297418,-8.032326251137741,-16.17142628113069,30.32856251660127,-15.478371274731852,3.1457486206409,1.53879433293627,,,,92.3,2029.0,6.1,776141,596117,547180,642215,664761,681082,805249,596146,592206,54.4,,,,,,,,45,2,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,214.0,0.013,-0.053,,,,0.053,,-1,1,0.198,0.802,32,34,33,35,1,2,3.0,2.0,10.0,,1.42,1.2,1.2,42.2,,,,,
