team,game_date,lineup,predicted_lineup
ATH,2025-05-05,"{'andum001': [0.32558139534883723, 0.4418604651162791, 0.3695652173913043, 2.0, 0.3597826086956521, 0.11956521739130435, 0.06521739130434782, 0.8804347826086957, 0.3698630136986301, 0.3561643835616438], 'bledj001': [0.225, 0.38333333333333336, 0.32608695652173914, 4.0, 0.3195652173913043, 0.21014492753623187, 0.13043478260869565, 0.7898550724637681, 0.3111111111111111, 0.4], 'butll001': [0.25, 0.4166666666666667, 0.31724137931034485, 5.0, 0.3248275862068964, 0.2482758620689655, 0.0896551724137931, 0.7517241379310344, 0.3125, 0.4479166666666667], 'kurtn001': [0.2777777777777778, 0.3333333333333333, 0.3157894736842105, 0.0, 0.29210526315789476, 0.47368421052631576, 0.05263157894736842, 0.5263157894736842, 0.5, 0.3888888888888889], 'langs001': [0.22321428571428573, 0.41964285714285715, 0.28688524590163933, 6.0, 0.3090163934426229, 0.1557377049180328, 0.08196721311475409, 0.8442622950819673, 0.3516483516483517, 0.42857142857142855], 'rookb001': [0.24285714285714285, 0.4857142857142857, 0.30718954248366015, 9.0, 0.3372549019607843, 0.26143790849673204, 0.0784313725490196, 0.738562091503268, 0.41836734693877553, 0.4489795918367347], 'sodet001': [0.2824427480916031, 0.5267175572519084, 0.3472222222222222, 9.0, 0.3770833333333332, 0.20833333333333334, 0.09027777777777778, 0.7916666666666666, 0.46938775510204084, 0.47959183673469385], 'urial001': [0.23809523809523808, 0.47619047619047616, 0.3424657534246575, 5.0, 0.35616438356164376, 0.1232876712328767, 0.136986301369863, 0.8767123287671232, 0.32, 0.34], 'wilsj006': [0.3333333333333333, 0.4496124031007752, 0.3582089552238806, 3.0, 0.35746268656716407, 0.04477611940298507, 0.03731343283582089, 0.9552238805970149, 0.35294117647058826, 0.2689075630252101]}","['butll001', 'wilsj006', 'rookb001', 'langs001', 'andum001', 'bledj001', 'kurtn001', 'urial001', 'sodet001']"
ATH,2025-05-06,"{'andum001': [0.3146067415730337, 0.42696629213483145, 0.35789473684210527, 2.0, 0.3484210526315789, 0.11578947368421053, 0.06315789473684211, 0.8842105263157894, 0.3815789473684211, 0.3815789473684211], 'bledj001': [0.224, 0.384, 0.3263888888888889, 4.0, 0.3201388888888888, 0.20833333333333334, 0.13194444444444445, 0.7916666666666666, 0.3118279569892473, 0.40860215053763443], 'butll001': [0.2463768115942029, 0.4057971014492754, 0.31125827814569534, 5.0, 0.3178807947019866, 0.24503311258278146, 0.08609271523178808, 0.7549668874172185, 0.31683168316831684, 0.43564356435643564], 'kurtn001': [0.275, 0.325, 0.32558139534883723, 0.0, 0.29534883720930233, 0.4186046511627907, 0.06976744186046512, 0.5813953488372093, 0.45454545454545453, 0.45454545454545453], 'langs001': [0.22413793103448276, 0.4396551724137931, 0.29133858267716534, 7.0, 0.31811023622047235, 0.14960629921259844, 0.08661417322834646, 0.8503937007874016, 0.3723404255319149, 0.43617021276595747], 'rookb001': [0.2413793103448276, 0.4827586206896552, 0.3081761006289308, 9.0, 0.3327044025157232, 0.2578616352201258, 0.07547169811320754, 0.7421383647798742, 0.4117647058823529, 0.4411764705882353], 'sodet001': [0.27941176470588236, 0.5147058823529411, 0.3466666666666667, 9.0, 0.3679999999999999, 0.21333333333333335, 0.08666666666666667, 0.7866666666666666, 0.45544554455445546, 0.48514851485148514], 'urial001': [0.2647058823529412, 0.4852941176470588, 0.358974358974359, 5.0, 0.3679487179487178, 0.11538461538461539, 0.1282051282051282, 0.8846153846153846, 0.3333333333333333, 0.37037037037037035], 'wilsj006': [0.34074074074074073, 0.45185185185185184, 0.36428571428571427, 3.0, 0.36142857142857127, 0.04285714285714286, 0.03571428571428571, 0.9571428571428572, 0.344, 0.28]}","['butll001', 'wilsj006', 'sodet001', 'andum001', 'bledj001', 'urial001', 'langs001', 'kurtn001', 'rookb001']"
ATH,2025-05-09,"{'andum001': [0.31958762886597936, 0.422680412371134, 0.3592233009708738, 2.0, 0.3475728155339805, 0.10679611650485436, 0.05825242718446602, 0.8932038834951457, 0.35714285714285715, 0.38095238095238093], 'bledj001': [0.21804511278195488, 0.37593984962406013, 0.3157894736842105, 4.0, 0.3118421052631578, 0.21052631578947367, 0.125, 0.7894736842105263, 0.30303030303030304, 0.41414141414141414], 'butll001': [0.23972602739726026, 0.410958904109589, 0.30625, 6.0, 0.3168749999999999, 0.25, 0.0875, 0.75, 0.32075471698113206, 0.42452830188679247], 'kurtn001': [0.2619047619047619, 0.30952380952380953, 0.3404255319148936, 0.0, 0.3, 0.40425531914893614, 0.10638297872340426, 0.5957446808510638, 0.43478260869565216, 0.43478260869565216], 'langs001': [0.2231404958677686, 0.4297520661157025, 0.2878787878787879, 7.0, 0.3128787878787878, 0.14393939393939395, 0.08333333333333333, 0.8560606060606061, 0.36363636363636365, 0.4444444444444444], 'rookb001': [0.24836601307189543, 0.48366013071895425, 0.31547619047619047, 9.0, 0.3374999999999999, 0.25595238095238093, 0.07738095238095238, 0.7440476190476191, 0.3888888888888889, 0.4444444444444444], 'sodet001': [0.2896551724137931, 0.5172413793103449, 0.3522012578616352, 9.0, 0.3723270440251571, 0.2138364779874214, 0.08176100628930817, 0.7861635220125787, 0.4537037037037037, 0.5], 'urial001': [0.25333333333333335, 0.4533333333333333, 0.3488372093023256, 5.0, 0.34418604651162776, 0.12790697674418605, 0.11627906976744186, 0.872093023255814, 0.3220338983050847, 0.3559322033898305], 'wilsj006': [0.35664335664335667, 0.4755244755244755, 0.3825503355704698, 3.0, 0.37986577181208037, 0.04697986577181208, 0.040268456375838924, 0.9530201342281879, 0.32575757575757575, 0.2878787878787879]}","['wilsj006', 'sodet001', 'rookb001', 'langs001', 'bledj001', 'butll001', 'kurtn001', 'urial001', 'andum001']"
ATH,2025-05-13,"{'andum001': [0.3055555555555556, 0.4074074074074074, 0.34210526315789475, 2.0, 0.3333333333333332, 0.11403508771929824, 0.05263157894736842, 0.8859649122807017, 0.33695652173913043, 0.34782608695652173], 'bledj001': [0.21428571428571427, 0.38571428571428573, 0.3081761006289308, 5.0, 0.31069182389937094, 0.2138364779874214, 0.11949685534591195, 0.7861635220125787, 0.3076923076923077, 0.41346153846153844], 'butll001': [0.23376623376623376, 0.3961038961038961, 0.2976190476190476, 6.0, 0.30714285714285705, 0.25595238095238093, 0.08333333333333333, 0.7440476190476191, 0.34234234234234234, 0.44144144144144143], 'kurtn001': [0.2692307692307692, 0.3269230769230769, 0.3333333333333333, 0.0, 0.3017543859649123, 0.40350877192982454, 0.08771929824561403, 0.5964912280701754, 0.4482758620689655, 0.4482758620689655], 'langs001': [0.2462686567164179, 0.4626865671641791, 0.30344827586206896, 8.0, 0.33241379310344815, 0.14482758620689656, 0.07586206896551724, 0.8551724137931035, 0.35454545454545455, 0.45454545454545453], 'rookb001': [0.25301204819277107, 0.4879518072289157, 0.3149171270718232, 10.0, 0.3392265193370165, 0.2596685082872928, 0.0718232044198895, 0.7403314917127072, 0.38461538461538464, 0.452991452991453], 'sodet001': [0.28846153846153844, 0.5064102564102564, 0.3508771929824561, 9.0, 0.36842105263157876, 0.21637426900584794, 0.08187134502923976, 0.783625730994152, 0.45689655172413796, 0.5], 'urial001': [0.25, 0.4642857142857143, 0.34375, 6.0, 0.3458333333333332, 0.11458333333333333, 0.11458333333333333, 0.8854166666666666, 0.29411764705882354, 0.3235294117647059], 'wilsj006': [0.34838709677419355, 0.4645161290322581, 0.3765432098765432, 3.0, 0.37283950617283934, 0.05555555555555555, 0.043209876543209874, 0.9444444444444444, 0.33098591549295775, 0.2746478873239437]}","['wilsj006', 'sodet001', 'rookb001', 'langs001', 'butll001', 'andum001', 'bledj001', 'kurtn001', 'urial001']"
ATH,2025-05-14,"{'andum001': [0.3185840707964602, 0.4424778761061947, 0.35294117647058826, 3.0, 0.35126050420168053, 0.1092436974789916, 0.05042016806722689, 0.8907563025210085, 0.35051546391752575, 0.36082474226804123], 'bledj001': [0.2206896551724138, 0.4068965517241379, 0.31097560975609756, 6.0, 0.31890243902439014, 0.21951219512195122, 0.11585365853658537, 0.7804878048780488, 0.3177570093457944, 0.411214953271028], 'butll001': [0.2389937106918239, 0.4088050314465409, 0.30057803468208094, 6.0, 0.3132947976878611, 0.24855491329479767, 0.08092485549132948, 0.7514450867052023, 0.3448275862068966, 0.4482758620689655], 'kurtn001': [0.2807017543859649, 0.40350877192982454, 0.3387096774193548, 1.0, 0.33064516129032256, 0.3870967741935484, 0.08064516129032258, 0.6129032258064516, 0.48484848484848486, 0.48484848484848486], 'langs001': [0.2536231884057971, 0.463768115942029, 0.31333333333333335, 8.0, 0.33799999999999986, 0.14666666666666667, 0.08, 0.8533333333333334, 0.36283185840707965, 0.45132743362831856], 'rookb001': [0.2573099415204678, 0.4853801169590643, 0.3172043010752688, 10.0, 0.339784946236559, 0.26881720430107525, 0.06989247311827956, 0.7311827956989247, 0.3865546218487395, 0.453781512605042], 'sodet001': [0.2795031055900621, 0.4906832298136646, 0.3409090909090909, 9.0, 0.3579545454545453, 0.23295454545454544, 0.07954545454545454, 0.7670454545454546, 0.452991452991453, 0.5042735042735043], 'urial001': [0.25, 0.45454545454545453, 0.3465346534653465, 6.0, 0.3376237623762375, 0.10891089108910891, 0.10891089108910891, 0.8910891089108911, 0.3055555555555556, 0.3194444444444444], 'wilsj006': [0.3625, 0.5125, 0.38922155688622756, 5.0, 0.3964071856287424, 0.05389221556886228, 0.041916167664670656, 0.9461077844311377, 0.3356164383561644, 0.2876712328767123]}","['wilsj006', 'rookb001', 'sodet001', 'butll001', 'andum001', 'bledj001', 'kurtn001', 'urial001', 'langs001']"
ATH,2025-05-16,"{'andum001': [0.3162393162393162, 0.4444444444444444, 0.34959349593495936, 3.0, 0.3504065040650405, 0.11382113821138211, 0.04878048780487805, 0.8861788617886179, 0.34, 0.36], 'bledj001': [0.21476510067114093, 0.3959731543624161, 0.30357142857142855, 6.0, 0.3113095238095237, 0.21428571428571427, 0.1130952380952381, 0.7857142857142857, 0.3063063063063063, 0.40540540540540543], 'butll001': [0.2289156626506024, 0.39156626506024095, 0.28888888888888886, 6.0, 0.301111111111111, 0.25555555555555554, 0.07777777777777778, 0.7444444444444445, 0.3333333333333333, 0.4583333333333333], 'kurtn001': [0.25396825396825395, 0.36507936507936506, 0.3088235294117647, 1.0, 0.3014705882352941, 0.39705882352941174, 0.07352941176470588, 0.6029411764705882, 0.4444444444444444, 0.4444444444444444], 'langs001': [0.2638888888888889, 0.4722222222222222, 0.3248407643312102, 8.0, 0.3471337579617833, 0.1464968152866242, 0.08280254777070063, 0.8535031847133758, 0.3644067796610169, 0.4491525423728814], 'rookb001': [0.24858757062146894, 0.4689265536723164, 0.31088082901554404, 10.0, 0.33108808290155434, 0.2694300518134715, 0.07253886010362694, 0.7305699481865285, 0.3902439024390244, 0.44715447154471544], 'sodet001': [0.27976190476190477, 0.5059523809523809, 0.3423913043478261, 10.0, 0.36413043478260854, 0.23369565217391305, 0.08152173913043478, 0.7663043478260869, 0.45081967213114754, 0.5163934426229508], 'urial001': [0.25274725274725274, 0.45054945054945056, 0.34615384615384615, 6.0, 0.3365384615384614, 0.11538461538461539, 0.10576923076923077, 0.8846153846153846, 0.2972972972972973, 0.32432432432432434], 'wilsj006': [0.3473053892215569, 0.49101796407185627, 0.37714285714285717, 5.0, 0.3822857142857142, 0.05142857142857143, 0.045714285714285714, 0.9485714285714286, 0.32679738562091504, 0.27450980392156865]}","['wilsj006', 'rookb001', 'langs001', 'sodet001', 'andum001', 'butll001', 'kurtn001', 'bledj001', 'urial001']"
ATH,2025-05-17,"{'andum001': [0.3140495867768595, 0.4380165289256198, 0.3464566929133858, 3.0, 0.34645669291338566, 0.11811023622047244, 0.047244094488188976, 0.8818897637795275, 0.33980582524271846, 0.36893203883495146], 'bledj001': [0.21052631578947367, 0.3881578947368421, 0.2982456140350877, 6.0, 0.30584795321637415, 0.21637426900584794, 0.1111111111111111, 0.783625730994152, 0.30973451327433627, 0.415929203539823], 'butll001': [0.2235294117647059, 0.38235294117647056, 0.2826086956521739, 6.0, 0.2945652173913042, 0.2608695652173913, 0.07608695652173914, 0.7391304347826086, 0.32786885245901637, 0.45081967213114754], 'kurtn001': [0.24615384615384617, 0.35384615384615387, 0.30985915492957744, 1.0, 0.29859154929577464, 0.38028169014084506, 0.08450704225352113, 0.6197183098591549, 0.42105263157894735, 0.47368421052631576], 'langs001': [0.2602739726027397, 0.4657534246575342, 0.325, 8.0, 0.34499999999999986, 0.15, 0.0875, 0.85, 0.36134453781512604, 0.453781512605042], 'rookb001': [0.2430939226519337, 0.4585635359116022, 0.30456852791878175, 10.0, 0.3243654822335025, 0.2639593908629442, 0.07106598984771574, 0.7360406091370558, 0.3779527559055118, 0.4566929133858268], 'sodet001': [0.27906976744186046, 0.5, 0.3404255319148936, 10.0, 0.36117021276595734, 0.22872340425531915, 0.0797872340425532, 0.7712765957446809, 0.4365079365079365, 0.5158730158730159], 'urial001': [0.26595744680851063, 0.46808510638297873, 0.35514018691588783, 6.0, 0.347663551401869, 0.11214953271028037, 0.102803738317757, 0.8878504672897196, 0.2987012987012987, 0.3246753246753247], 'wilsj006': [0.3411764705882353, 0.4823529411764706, 0.3707865168539326, 5.0, 0.3758426966292134, 0.056179775280898875, 0.0449438202247191, 0.9438202247191011, 0.3225806451612903, 0.27741935483870966]}","['wilsj006', 'sodet001', 'langs001', 'butll001', 'rookb001', 'andum001', 'kurtn001', 'bledj001', 'urial001']"
ATH,2025-05-20,"{'andum001': [0.312, 0.432, 0.3435114503816794, 3.0, 0.34274809160305325, 0.11450381679389313, 0.04580152671755725, 0.8854961832061069, 0.32710280373831774, 0.35514018691588783], 'bledj001': [0.20625, 0.375, 0.29444444444444445, 6.0, 0.29944444444444435, 0.22777777777777777, 0.1111111111111111, 0.7722222222222223, 0.29914529914529914, 0.41025641025641024], 'butll001': [0.2265193370165746, 0.3867403314917127, 0.29292929292929293, 6.0, 0.3020202020202019, 0.2474747474747475, 0.08585858585858586, 0.7525252525252525, 0.32061068702290074, 0.45038167938931295], 'kurtn001': [0.2077922077922078, 0.2987012987012987, 0.26506024096385544, 1.0, 0.25542168674698795, 0.37349397590361444, 0.07228915662650602, 0.6265060240963856, 0.34782608695652173, 0.45652173913043476], 'langs001': [0.2484076433121019, 0.4394904458598726, 0.313953488372093, 8.0, 0.3302325581395348, 0.1511627906976744, 0.0872093023255814, 0.8488372093023255, 0.34375, 0.4296875], 'rookb001': [0.24083769633507854, 0.44502617801047123, 0.30952380952380953, 10.0, 0.32285714285714284, 0.2523809523809524, 0.08095238095238096, 0.7476190476190476, 0.3897058823529412, 0.4485294117647059], 'sodet001': [0.2717391304347826, 0.4891304347826087, 0.3333333333333333, 10.0, 0.35074626865671626, 0.23383084577114427, 0.07462686567164178, 0.7661691542288557, 0.4253731343283582, 0.5223880597014925], 'urial001': [0.25471698113207547, 0.44339622641509435, 0.33613445378151263, 6.0, 0.33109243697478974, 0.11764705882352941, 0.09243697478991597, 0.8823529411764706, 0.32558139534883723, 0.3372093023255814], 'wilsj006': [0.3425414364640884, 0.48066298342541436, 0.3802083333333333, 5.0, 0.37656249999999997, 0.052083333333333336, 0.052083333333333336, 0.9479166666666666, 0.3253012048192771, 0.27710843373493976]}","['butll001', 'wilsj006', 'sodet001', 'langs001', 'rookb001', 'andum001', 'kurtn001', 'urial001', 'bledj001']"
ATL,2025-05-29,"{'albio001': [0.23923444976076555, 0.3492822966507177, 0.3026315789473684, 5.0, 0.29078947368421043, 0.15350877192982457, 0.07894736842105263, 0.8464912280701754, 0.38953488372093026, 0.26744186046511625], 'allen002': [0.2463768115942029, 0.2753623188405797, 0.3157894736842105, 0.0, 0.2671052631578947, 0.21710526315789475, 0.07894736842105263, 0.7828947368421053, 0.34615384615384615, 0.25], 'baldd001': [0.336734693877551, 0.5306122448979592, 0.38095238095238093, 5.0, 0.39714285714285696, 0.14285714285714285, 0.06666666666666667, 0.8571428571428571, 0.40963855421686746, 0.5783132530120482], 'harrm004': [0.22167487684729065, 0.33004926108374383, 0.25471698113207547, 3.0, 0.2599056603773584, 0.18396226415094338, 0.04245283018867924, 0.8160377358490566, 0.32298136645962733, 0.40993788819875776], 'murps001': [0.21621621621621623, 0.46846846846846846, 0.31496062992125984, 8.0, 0.31259842519685027, 0.3228346456692913, 0.08661417322834646, 0.6771653543307087, 0.34782608695652173, 0.4492753623188406], 'olsom001': [0.233502538071066, 0.4619289340101523, 0.33771929824561403, 12.0, 0.34736842105263166, 0.2412280701754386, 0.13157894736842105, 0.7587719298245614, 0.3900709219858156, 0.5673758865248227], 'ozunm001': [0.2774566473988439, 0.4682080924855491, 0.423963133640553, 9.0, 0.39447004608294967, 0.22580645161290322, 0.19815668202764977, 0.7741935483870968, 0.3697478991596639, 0.5462184873949579], 'rilea001': [0.2706422018348624, 0.42201834862385323, 0.32340425531914896, 8.0, 0.32042553191489365, 0.28085106382978725, 0.059574468085106386, 0.7191489361702128, 0.3959731543624161, 0.5100671140939598], 'white006': [0.2601626016260163, 0.4146341463414634, 0.3, 2.0, 0.30846153846153834, 0.23076923076923078, 0.046153846153846156, 0.7692307692307693, 0.3793103448275862, 0.3793103448275862]}","['baldd001', 'rilea001', 'ozunm001', 'olsom001', 'albio001', 'murps001', 'harrm004', 'white006', 'allen002']"
ATL,2025-06-08,"{'acunr001': [0.3148148148148148, 0.5740740740740741, 0.38333333333333336, 4.0, 0.4116666666666665, 0.3333333333333333, 0.1, 0.6666666666666666, 0.36363636363636365, 0.7272727272727273], 'albio001': [0.23045267489711935, 0.34156378600823045, 0.30996309963099633, 6.0, 0.2907749077490776, 0.15129151291512916, 0.0959409594095941, 0.8487084870848709, 0.37, 0.27], 'allen002': [0.23076923076923078, 0.26282051282051283, 0.3063583815028902, 0.0, 0.2595375722543352, 0.23699421965317918, 0.08670520231213873, 0.7630057803468208, 0.34210526315789475, 0.2543859649122807], 'harrm004': [0.2345679012345679, 0.34156378600823045, 0.2648221343873518, 4.0, 0.2664031620553359, 0.1976284584980237, 0.03557312252964427, 0.8023715415019763, 0.3333333333333333, 0.42328042328042326], 'murps001': [0.21705426356589147, 0.4573643410852713, 0.31756756756756754, 9.0, 0.3141891891891891, 0.31756756756756754, 0.0945945945945946, 0.6824324324324325, 0.3625, 0.4625], 'olsom001': [0.23504273504273504, 0.45726495726495725, 0.34191176470588236, 13.0, 0.34632352941176486, 0.23529411764705882, 0.1323529411764706, 0.7647058823529411, 0.39285714285714285, 0.5595238095238095], 'ozunm001': [0.26066350710900477, 0.43601895734597157, 0.40229885057471265, 10.0, 0.37394636015325716, 0.22988505747126436, 0.18773946360153257, 0.7701149425287356, 0.3724137931034483, 0.5379310344827586], 'rilea001': [0.27413127413127414, 0.444015444015444, 0.32616487455197135, 11.0, 0.3308243727598568, 0.27956989247311825, 0.06093189964157706, 0.7204301075268817, 0.39325842696629215, 0.5337078651685393], 'white006': [0.23741007194244604, 0.37410071942446044, 0.273972602739726, 2.0, 0.2808219178082191, 0.22602739726027396, 0.0410958904109589, 0.773972602739726, 0.35, 0.36]}","['acunr001', 'rilea001', 'olsom001', 'ozunm001', 'white006', 'murps001', 'harrm004', 'albio001', 'allen002']"
